,data,precalculated,result
0,2.004,0.0,0.0
1,-7.464,0.005,0.005000000000000001
2,7.216,0.02,0.02000021632999784
3,-5.316,0.045,0.044999400070061514
4,-4.486,0.08,0.07999671598147504
5,-3.69,0.125,0.12499124455122401
6,1.747,0.18,0.17999242722323486
7,-1.116,0.245,0.24498629396115712
8,-1.802,0.32,0.3199725474938002
9,5.635,0.405,0.4050110594450229
10,10.122,0.5,0.5001233261543039
11,0.86,0.605,0.6051469435598069
12,-1.197,0.72,0.7201294995555386
13,-3.291,0.845,0.8450401697152448
14,-7.908,0.98,0.9797575067606495
15,7.496,1.125,1.124994454063467
16,2.452,1.28,1.2800589396184803
17,-8.523,1.444,1.4444788765260934
18,-7.486,1.619,1.6187976123578904
19,0.168,1.804,1.803578591859428
20,8.121,1.999,1.999094935105602
21,-4.878,2.203,2.2032465139355244
22,-1.128,2.418,2.417690587419754
23,12.243,2.644,2.6440336162852485
24,6.167,2.88,2.8795914996921286
25,-6.428,3.123,3.122758687846725
26,-1.24,3.377,3.3766769584580953
27,6.584,3.642,3.6422960454501285
28,-4.197,3.915,3.914997907538995
29,10.994,4.202,4.201930509107446
30,-2.607,4.494,4.494473577445399
31,13.044,4.802,4.802446996267174
32,2.62,5.116,5.116445995058538
33,7.304,5.442,5.442305814913196
34,15.105,5.782,5.782033754728788
35,5.968,6.127,6.127252367714827
36,16.065,6.488,6.488267962676441
37,15.652,6.86,6.859536002148161
38,4.842,7.234,7.23372744297248
39,1.692,7.615,7.61508785908683
40,6.961,8.01,8.009941108955065
41,-0.065,8.408,8.408219652492736
42,9.671,8.825,8.824521421801105
43,16.046,9.257,9.256986136974524
44,4.993,9.688,9.68776552543005
45,12.293,10.136,10.136036343855745
46,20.272,10.604,10.60393973406211
47,1.851,11.058,11.058134587300737
48,16.218,11.541,11.54077683574039
49,10.602,12.025,12.024986799005772
50,12.451,12.521,12.521233081524999
51,6.422,13.017,13.01656395767785
52,20.554,13.545,13.545280433710733
53,15.988,14.076,14.07555721859359
54,4.621,14.593,14.592549296192574
55,9.064,15.126,15.12622828379672
56,9.292,15.668,15.668290576398439
57,10.314,16.22,16.22044589331433
58,15.316,16.793,16.792531892986155
59,18.577,17.381,17.38136960018821
60,22.586,17.99,17.98979022820936
61,13.688,18.582,18.582315905575708
62,20.689,19.203,19.20297927500796
63,10.751,19.801,19.801295159700707
64,26.958,20.458,20.45847488255512
65,21.957,21.108,21.108041705160023
66,12.011,21.73,21.730428482157706
67,25.868,22.41,22.40957946553758
68,32.8,23.124,23.123779559072897
69,24.215,23.813,23.813244001710583
70,33.165,24.547,24.547421290200667
71,26.201,25.261,25.260609530485397
72,31.869,26.007,26.006538197694205
73,20.291,26.707,26.706614083266782
74,18.157,27.401,27.401403673214173
75,33.518,28.178,28.17754613345603
76,34.789,28.968,28.96798084497134
77,38.268,29.785,29.784790439615303
78,28.604,30.556,30.555884740863902
79,26.58,31.321,31.32052692706612
80,28.552,32.101,32.10116263949654
81,31.957,32.907,32.90707946930661
82,31.246,33.713,33.71333705913216
83,38.637,34.572,34.5721050193976
84,34.014,35.406,35.40552427579122
85,38.419,36.274,36.27352738643469
86,35.44,37.125,37.1250607919402
87,34.934,37.976,37.97635834524459
88,43.406,38.894,38.89441014837762
89,35.457,39.756,39.75557602603555
90,30.654,40.581,40.58051783301241
91,50.203,41.565,41.565194923594795
92,37.816,42.451,42.45124676476345
93,39.117,43.35,43.34955790765666
94,43.979,44.292,44.29154344756039
95,46.175,45.255,45.2550357880335
96,44.708,46.207,46.206811791030944
97,41.183,47.126,47.12622655718689
98,57.62,48.203,48.20325695537687
99,49.07,49.199,49.1993468159312
100,55.408,50.259,50.25941703109741
101,46.685,51.231,51.23141004191686
102,46.402,52.199,52.19897692708483
103,47.098,53.172,53.17189119540581
104,62.611,54.311,54.31105509792446
105,51.393,55.327,55.32676736214549
106,55.267,56.384,56.383658793156165
107,47.967,57.355,57.354572933957215
108,57.878,58.437,58.43685289475237
109,59.323,59.534,59.533632872850156
110,56.771,60.597,60.59667260660032
111,56.372,61.651,61.65076744617181
112,69.141,62.859,62.85932469247723
113,60.226,63.952,63.952508376063484
114,68.59,65.148,65.14809847408857
115,71.499,66.378,66.377677118281
116,58.191,67.427,67.42752020446945
117,67.101,68.59,68.58967105939915
118,71.016,69.799,69.79905117671008
119,64.534,70.914,70.91360368431275
120,78.197,72.211,72.21088800358595
121,73.688,73.439,73.43896164566533
122,64.461,74.529,74.52857692939915
123,76.147,75.778,75.77779570299359
124,71.187,76.947,76.94708653463309
125,71.972,78.119,78.1191428490625
126,86.947,79.505,79.50495689199117
127,74.005,80.688,80.68832548977853
128,85.556,82.037,82.03726879281666
129,89.67,83.44,83.44022026765822
130,91.619,84.864,84.86414513902218
131,90.264,86.257,86.25737865916635
132,93.574,87.693,87.69254996272772
133,87.753,89.025,89.02488097840802
134,84.242,90.29,90.28971026625898
135,99.074,91.782,91.78187869616713
136,88.872,93.097,93.09673651687275
137,97.928,94.547,94.54743534580128
138,100.691,96.031,96.03126962540374
139,94.079,97.393,97.39257441504868
140,103.948,98.905,98.90547444131947
141,100.146,100.341,100.34095380856593
142,104.463,101.836,101.8355699287402
143,105.91,103.341,103.34059497551327
144,107.671,104.861,104.86119731096001
145,100.101,106.237,106.23653996832243
146,104.17,107.667,107.66713894485252
147,99.696,109.004,109.00441697292602
148,102.772,110.38,110.3798458088634
149,106.726,111.809,111.80883294355247
150,111.04,113.298,113.29772597260737
151,112.555,114.797,114.79687075930643
152,123.351,116.471,116.47132380483754
153,109.697,117.884,117.88407495541915
154,116.424,119.4,119.40038733822719
155,111.098,120.803,120.80305717299652
156,112.38,122.211,122.21136955291234
157,116.936,123.685,123.68460066060672
158,129.283,125.364,125.36440872863082
159,128.925,127.018,127.01843162663103
160,119.19,128.475,128.47473581665625
161,132.105,130.15,130.1495922337398
162,133.7,131.834,131.83387931460928
163,124.135,133.321,133.3212294896345
164,136.988,135.027,135.027204001379
165,132.103,136.622,136.62169191565872
166,146.371,138.461,138.46134405801791
167,136.815,140.101,140.10075464597824
168,140.341,141.785,141.78504297785722
169,144.582,143.527,143.52728017429715
170,154.116,145.426,145.4264118192361
171,146.541,147.16,147.15983509833123
172,142.687,148.798,148.79825830457565
173,145.426,150.466,150.46643151260068
174,151.366,152.225,152.22458345679573
175,149.886,153.932,153.9316391041708
176,153.83,155.691,155.690581128026
177,156.267,157.472,157.47237310306713
178,157.67,159.257,159.25709121546916
179,157.916,161.023,161.02256546649514
180,157.44,162.755,162.75503463899602
181,161.976,164.55,164.550215336518
182,175.198,166.573,166.57345955869175
183,173.685,168.541,168.54137156972791
184,168.556,170.385,170.38498753863738
185,168.168,172.196,172.19586427743806
186,166.232,173.944,173.94445018786885
187,169.742,175.736,175.73558310770454
188,171.085,177.527,177.52723889583953
189,178.7,179.44,179.43981723526264
190,170.674,181.172,181.1715585279952
191,185.626,183.166,183.1658352182717
192,175.298,184.934,184.93382474552925
193,193.174,187.02,187.02045588698255
194,183.544,188.893,188.89297570148145
195,185.373,190.774,190.7739557948343
196,195.337,192.82,192.82013348261773
197,184.426,194.627,194.62720286719826
198,192.479,196.563,196.56316682155617
199,195.004,198.52,198.52007845316555
200,206.707,200.675,200.67494552257256
201,196.043,202.594,202.59373181148828
202,195.23,204.469,204.4688050811277
203,200.038,206.409,206.4091362372289
204,203.782,208.393,208.39347938626804
205,219.849,210.66,210.6597019132146
206,217.168,212.842,212.8424458766472
207,222.986,215.107,215.1067966684348
208,217.306,217.229,217.22936712104672
209,213.411,219.246,219.24588707551558
210,228.781,221.53,221.5301746463676
211,220.844,223.628,223.6284063671735
212,231.887,225.91,225.90970447458466
213,217.541,227.881,227.8806023979864
214,223.175,229.931,229.930836636387
215,222.609,231.939,231.93949803681835
216,223.501,233.935,233.93512972405676
217,233.791,236.1,236.09981413713822
218,233.571,238.228,238.22827662707334
219,246.767,240.581,240.58065798764025
220,236.992,242.71,242.70972555248278
221,241.953,244.903,244.90297388519141
222,250.808,247.235,247.23514032242508
223,238.795,249.3,249.3005070869447
224,243.566,251.427,251.4266908822217
225,257.566,253.792,253.7918323645994
226,260.843,256.186,256.18580435406756
227,248.665,258.309,258.3087919278367
228,258.305,260.586,260.5859907180011
229,269.407,263.044,263.044160856294
230,262.249,265.328,265.32769797212916
231,268.335,267.695,267.6947524638009
232,277.652,270.207,270.20702082250074
233,276.999,272.67,272.66985099748416
234,283.717,275.226,275.2264015926716
235,269.263,277.465,277.4654984952309
236,276.92,279.818,279.81842664158455
237,288.101,282.352,282.35227281184956
238,281.556,284.722,284.7218081129335
239,279.896,287.023,287.0231324230925
240,287.788,289.442,289.44184567467653
241,296.223,291.987,291.98724974211586
242,297.19,294.513,294.51336099118083
243,303.17,297.117,297.1173645742491
244,295.801,299.54,299.5398147593186
245,298.111,301.97,301.96983724332273
246,294.663,304.296,304.29572202713314
247,314.017,306.96,306.9600859961589
248,297.872,309.272,309.27192042192576
249,311.252,311.806,311.8064443116928
250,318.13,314.435,314.4354873889894
251,316.861,317.0,317.00021570824293
252,319.784,319.582,319.58234561816255
253,311.379,321.962,321.96214589353116
254,329.374,324.653,324.6529142429086
255,323.118,327.182,327.1817536914849
256,333.683,329.876,329.87600232040865
257,329.969,332.457,332.45732449813653
258,325.284,334.908,334.9078685874787
259,328.695,337.386,337.38565593423647
260,335.583,339.958,339.9577196659196
261,331.735,342.415,342.4150245347033
262,335.374,344.904,344.9036601110495
263,351.493,347.665,347.66512115239857
264,342.87,350.217,350.21718657951334
265,352.138,352.909,352.90851180174315
266,359.27,355.696,355.6962854277176
267,348.9,358.24,358.24020277836485
268,351.791,360.8,360.79954627498756
269,354.874,363.378,363.3778057166095
270,364.22,366.096,366.09615520934955
271,375.305,368.987,368.9869097103423
272,374.962,371.827,371.8267208100708
273,369.39,374.515,374.51453451491307
274,382.585,377.416,377.4156832586793
275,379.579,380.214,380.2137965867857
276,378.866,382.954,382.9542103457695
277,388.37,385.836,385.8355918924268
278,389.344,388.691,388.6910071277514
279,382.595,391.371,391.3707164322603
280,401.358,394.371,394.37139303278445
281,385.238,397.013,397.0128656401819
282,399.597,399.89,399.8900354297432
283,394.714,402.627,402.6270464099667
284,409.153,405.6,405.600268005552
285,411.669,408.576,408.57587459455823
286,406.057,411.396,411.3958761865401
287,413.285,414.311,414.31100796862023
288,415.335,417.22,417.2197002738824
289,415.069,420.077,420.07691267817165
290,416.552,422.917,422.91700564351044
291,420.157,425.781,425.78127840730474
292,416.859,428.535,428.5352469455324
293,436.097,431.618,431.61790034081844
294,431.537,434.563,434.5634458167858
295,439.164,437.61,437.60999878839664
296,432.046,440.47,440.46978780084766
297,446.145,443.557,443.5570802554277
298,441.572,446.506,446.5064760611196
299,453.638,449.643,449.6428393726436
300,458.078,452.816,452.81595843455347
301,444.851,455.682,455.68158604630463
302,464.843,458.889,458.8889759220807
303,463.898,462.027,462.0273289824668
304,468.513,465.205,465.2054078696579
305,457.597,468.12,468.12033457804614
306,464.65,471.124,471.1243557940429
307,464.762,474.081,474.0813724812526
308,470.773,477.107,477.1066327907795
309,473.005,480.126,480.12579122887865
310,486.911,483.366,483.3662737194235
311,483.033,486.479,486.47936331746695
312,483.643,489.554,489.55360126965076
313,480.44,492.515,492.51491911055615
314,497.658,495.762,495.76240063409534
315,495.009,498.906,498.90591524094805
