,data,precalculated,result,Diff
0,2.004,0,0,0
1,-7.464,0.005,0.005,0
2,7.216,0.02,0.020000216,2.1633E-07
3,-5.316,0.045,0.0449994,5.9993E-07
4,-4.486,0.08,0.079996716,3.28402E-06
5,-3.69,0.125,0.124991245,8.75545E-06
6,1.747,0.18,0.179992427,7.57278E-06
7,-1.116,0.245,0.244986294,1.3706E-05
8,-1.802,0.32,0.319972547,2.74525E-05
9,5.635,0.405,0.405011059,1.10594E-05
10,10.122,0.5,0.500123326,0.000123326
11,0.86,0.605,0.605146944,0.000146944
12,-1.197,0.72,0.7201295,0.0001295
13,-3.291,0.845,0.84504017,4.01697E-05
14,-7.908,0.98,0.979757507,0.000242493
15,7.496,1.125,1.124994454,5.54594E-06
16,2.452,1.28,1.28005894,5.89396E-05
17,-8.523,1.444,1.444478877,0.000478877
18,-7.486,1.619,1.618797612,0.000202388
19,0.168,1.804,1.803578592,0.000421408
20,8.121,1.999,1.999094935,9.49351E-05
21,-4.878,2.203,2.203246514,0.000246514
22,-1.128,2.418,2.417690587,0.000309413
23,12.243,2.644,2.644033616,3.36163E-05
24,6.167,2.88,2.8795915,0.0004085
25,-6.428,3.123,3.122758688,0.000241312
26,-1.24,3.377,3.376676958,0.000323042
27,6.584,3.642,3.642296045,0.000296045
28,-4.197,3.915,3.914997908,2.09246E-06
29,10.994,4.202,4.201930509,6.94909E-05
30,-2.607,4.494,4.494473577,0.000473577
31,13.044,4.802,4.802446996,0.000446996
32,2.62,5.116,5.116445995,0.000445995
33,7.304,5.442,5.442305815,0.000305815
34,15.105,5.782,5.782033755,3.37547E-05
35,5.968,6.127,6.127252368,0.000252368
36,16.065,6.488,6.488267963,0.000267963
37,15.652,6.86,6.859536002,0.000463998
38,4.842,7.234,7.233727443,0.000272557
39,1.692,7.615,7.615087859,8.78591E-05
40,6.961,8.01,8.009941109,5.8891E-05
41,-0.065,8.408,8.408219652,0.000219652
42,9.671,8.825,8.824521422,0.000478578
43,16.046,9.257,9.256986137,1.3863E-05
44,4.993,9.688,9.687765525,0.000234475
45,12.293,10.136,10.13603634,3.63439E-05
46,20.272,10.604,10.60393973,6.02659E-05
47,1.851,11.058,11.05813459,0.000134587
48,16.218,11.541,11.54077684,0.000223164
49,10.602,12.025,12.0249868,1.3201E-05
50,12.451,12.521,12.52123308,0.000233082
51,6.422,13.017,13.01656396,0.000436042
52,20.554,13.545,13.54528043,0.000280434
53,15.988,14.076,14.07555722,0.000442781
54,4.621,14.593,14.5925493,0.000450704
55,9.064,15.126,15.12622828,0.000228284
56,9.292,15.668,15.66829058,0.000290576
57,10.314,16.22,16.22044589,0.000445893
58,15.316,16.793,16.79253189,0.000468107
59,18.577,17.381,17.3813696,0.0003696
60,22.586,17.99,17.98979023,0.000209772
61,13.688,18.582,18.58231591,0.000315906
62,20.689,19.203,19.20297928,2.0725E-05
63,10.751,19.801,19.80129516,0.00029516
64,26.958,20.458,20.45847488,0.000474883
65,21.957,21.108,21.10804171,4.17052E-05
66,12.011,21.73,21.73042848,0.000428482
67,25.868,22.41,22.40957947,0.000420534
68,32.8,23.124,23.12377956,0.000220441
69,24.215,23.813,23.813244,0.000244002
70,33.165,24.547,24.54742129,0.00042129
71,26.201,25.261,25.26060953,0.00039047
72,31.869,26.007,26.0065382,0.000461802
73,20.291,26.707,26.70661408,0.000385917
74,18.157,27.401,27.40140367,0.000403673
75,33.518,28.178,28.17754613,0.000453867
76,34.789,28.968,28.96798084,1.9155E-05
77,38.268,29.785,29.78479044,0.00020956
78,28.604,30.556,30.55588474,0.000115259
79,26.58,31.321,31.32052693,0.000473073
80,28.552,32.101,32.10116264,0.000162639
81,31.957,32.907,32.90707947,7.94693E-05
82,31.246,33.713,33.71333706,0.000337059
83,38.637,34.572,34.57210502,0.000105019
84,34.014,35.406,35.40552428,0.000475724
85,38.419,36.274,36.27352739,0.000472614
86,35.44,37.125,37.12506079,6.07919E-05
87,34.934,37.976,37.97635835,0.000358345
88,43.406,38.894,38.89441015,0.000410148
89,35.457,39.756,39.75557603,0.000423974
90,30.654,40.581,40.58051783,0.000482167
91,50.203,41.565,41.56519492,0.000194924
92,37.816,42.451,42.45124676,0.000246765
93,39.117,43.35,43.34955791,0.000442092
94,43.979,44.292,44.29154345,0.000456552
95,46.175,45.255,45.25503579,3.5788E-05
96,44.708,46.207,46.20681179,0.000188209
97,41.183,47.126,47.12622656,0.000226557
