index,time,accX,accY,accZ,gyroX,gyroY,gyroZ
0,6.438,-0.052,0.017,1.082,4.333,2.625,3.11
1,6.449,-0.044,0.032,1.088,4.333,2.441,3.29
2,6.46,-0.041,0.018,1.064,3.906,2.502,3.05
3,6.471,-0.041,0.032,1.079,4.272,2.563,3.72
4,6.482,-0.055,0.015,1.079,4.272,2.441,3.41
5,6.493,-0.044,0.032,1.08,4.272,2.38,3.23
6,6.504,-0.047,0.019,1.078,4.15,2.441,3.54
7,6.515,-0.039,0.008,1.093,4.028,2.502,3.17
8,6.526,-0.048,0.015,1.088,4.333,2.502,3.23
9,6.537,-0.042,0.026,1.058,4.211,2.136,3.23
10,6.548,-0.047,0.023,1.061,4.456,2.502,3.47
11,6.559,-0.048,0.015,1.09,3.967,2.747,3.47
12,6.57,-0.035,0.024,1.073,4.822,2.991,3.78
13,6.581,-0.038,0.012,1.098,3.845,2.441,3.47
14,6.592,-0.048,0.021,1.065,4.456,3.296,3.78
15,6.603,-0.041,0.031,1.082,4.272,2.686,2.99
16,6.614,-0.043,0.017,1.066,4.883,2.991,3.66
17,6.625,-0.041,0.028,1.072,4.272,2.808,3.11
18,6.636,-0.061,0.007,1.083,5.066,2.441,3.66
19,6.647,-0.056,0.013,1.085,4.883,3.174,3.78
20,6.658,-0.052,0.032,1.066,4.211,2.869,3.35
21,6.669,-0.066,0.022,1.067,3.357,2.625,3.23
22,6.68,-0.041,0.025,1.055,3.662,2.563,3.84
23,6.691,-0.042,0.02,1.081,4.211,2.502,3.23
24,6.702,-0.042,0.019,1.09,4.517,2.502,3.29
25,6.713,-0.045,0.017,1.093,4.272,2.686,3.11
26,6.724,-0.036,0.018,1.079,4.395,2.441,3.11
27,6.735,-0.043,0.013,1.094,4.211,2.197,3.35
28,6.746,-0.047,0.018,1.077,4.089,2.93,4.08
29,6.757,-0.042,0.018,1.062,4.761,2.441,3.47
30,6.768,-0.041,0.016,1.077,4.639,2.93,3.66
31,6.779,-0.051,0.026,1.081,4.089,2.319,3.05
32,6.79,-0.05,0.027,1.071,4.456,2.686,3.35
33,6.801,-0.034,0.013,1.088,4.333,2.93,3.72
34,6.812,-0.032,0.023,1.081,3.662,2.563,3.6
35,6.823,-0.031,0.01,1.082,4.089,2.625,3.17
36,6.834,-0.041,0.005,1.081,3.967,2.441,3.72
37,6.845,-0.045,0.018,1.078,4.456,2.991,3.29
